Format Version,1.21,Take Name,BengtAnnelieBA1,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-08-06 12.42.55.331 AM,Total Frames in Take,36475,Total Exported Frames,36475,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:554,Unlabeled:554,Unlabeled:554,Unlabeled:561,Unlabeled:561,Unlabeled:561,Unlabeled:562,Unlabeled:562,Unlabeled:562,Unlabeled:552,Unlabeled:552,Unlabeled:552,Unlabeled:555,Unlabeled:555,Unlabeled:555
,,"8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E357022A","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570231","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570232","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E3570228","8392B20CF49E357022B","8392B20CF49E357022B","8392B20CF49E357022B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
160,1.333333,-1.765674,0.896767,2.072191,-1.094495,0.930112,2.595500,,,,,,,,,
161,1.341667,-1.764103,0.896696,2.071810,-1.094543,0.930020,2.595414,,,,,,,,,
162,1.350000,-1.762509,0.896687,2.071445,-1.094571,0.929916,2.595354,,,,,,,,,
163,1.358333,-1.760951,0.896701,2.071150,-1.094583,0.929818,2.595345,,,,,,,,,
164,1.366667,-1.759371,0.896762,2.070904,-1.094581,0.929739,2.595374,,,,,,,,,
165,1.375000,-1.757723,0.896881,2.070716,-1.094565,0.929694,2.595400,,,,,,,,,
166,1.383333,-1.756052,0.897063,2.070493,-1.094557,0.929685,2.595429,,,,,,,,,
167,1.391667,-1.754345,0.897281,2.070347,-1.094573,0.929702,2.595471,,,,,,,,,
168,1.400000,-1.752527,0.897583,2.070200,-1.094603,0.929741,2.595529,,,,,,,,,
169,1.408333,-1.750722,0.897885,2.070072,-1.094627,0.929780,2.595645,,,,,,,,,
170,1.416667,-1.748920,0.898228,2.069978,-1.094639,0.929814,2.595801,,,,,,,,,
171,1.425000,-1.747063,0.898532,2.069873,-1.094631,0.929810,2.595991,,,,,,,,,
172,1.433333,-1.745229,0.898881,2.069781,-1.094609,0.929761,2.596215,,,,,,,,,
173,1.441667,-1.743337,0.899238,2.069702,-1.094572,0.929674,2.596468,,,,,,,,,
174,1.450000,-1.741476,0.899597,2.069657,-1.094527,0.929553,2.596714,,,,,,,,,
175,1.458333,-1.739629,0.900005,2.069621,-1.094468,0.929387,2.596975,,,,,,,,,
176,1.466667,-1.737733,0.900389,2.069610,-1.094357,0.929177,2.597265,,,,,,,,,
177,1.475000,-1.735854,0.900807,2.069601,-1.094218,0.928927,2.597597,,,,,,,,,
178,1.483333,-1.733991,0.901248,2.069612,-1.094037,0.928620,2.598003,,,,,,,,,
179,1.491667,-1.732119,0.901717,2.069629,-1.093818,0.928232,2.598532,,,,,,,,,
180,1.500000,-1.730237,0.902227,2.069634,-1.093588,0.927746,2.599108,,,,,,,,,
181,1.508333,-1.728253,0.902792,2.069648,-1.093412,0.927171,2.599692,,,,,,,,,
182,1.516667,-1.726394,0.903401,2.069693,-1.093377,0.926456,2.600338,,,,,,,,,
183,1.525000,-1.724576,0.904049,2.069802,-1.093492,0.925590,2.601063,,,,,,,,,
184,1.533333,-1.722722,0.904723,2.069898,-1.093728,0.924547,2.601986,,,,,,,,,
185,1.541667,-1.720966,0.905418,2.070066,-1.094081,0.923328,2.603024,,,,,,,,,
186,1.550000,-1.719191,0.906135,2.070243,-1.094565,0.921960,2.604102,,,,,,,,,
187,1.558333,-1.717429,0.906900,2.070413,-1.095143,0.920547,2.605201,,,,,,,,,
188,1.566667,-1.715671,0.907693,2.070591,-1.095762,0.919100,2.606163,,,,,,,,,
